iter	Passed	Remaining
1578	6080	5471
1579	6083	5467
1580	6087	5463
1581	6091	5460
1582	6095	5456
1583	6099	5452
1584	6103	5448
1585	6106	5444
1586	6110	5440
1587	6114	5436
1588	6119	5433
1589	6123	5430
1590	6126	5426
1591	6130	5422
1592	6134	5418
1593	6138	5414
1594	6142	5410
1595	6145	5406
1596	6149	5402
1597	6153	5398
1598	6156	5394
1599	6160	5390
1600	6164	5386
1601	6168	5382
1602	6171	5378
1603	6175	5374
1604	6179	5370
1605	6183	5366
1606	6186	5362
1607	6190	5359
1608	6194	5355
1609	6198	5351
1610	6201	5347
1611	6205	5343
1612	6209	5339
1613	6213	5335
1614	6216	5331
1615	6220	5327
1616	6224	5323
1617	6227	5319
1618	6231	5315
1619	6235	5311
1620	6239	5307
1621	6242	5303
1622	6246	5299
1623	6250	5296
1624	6254	5292
1625	6258	5288
1626	6261	5284
1627	6265	5280
1628	6269	5276
1629	6273	5272
1630	6276	5268
1631	6280	5264
1632	6284	5260
1633	6288	5256
1634	6291	5252
1635	6295	5248
1636	6299	5244
1637	6302	5240
1638	6306	5236
1639	6310	5233
1640	6314	5229
1641	6317	5225
1642	6321	5221
1643	6325	5217
1644	6329	5213
1645	6332	5209
1646	6336	5205
1647	6340	5201
1648	6343	5197
1649	6347	5193
1650	6351	5189
1651	6354	5185
1652	6358	5181
1653	6362	5177
1654	6366	5173
1655	6369	5169
1656	6373	5165
1657	6377	5161
1658	6381	5157
1659	6384	5154
1660	6388	5150
1661	6392	5146
1662	6396	5142
1663	6399	5138
1664	6403	5134
1665	6407	5130
1666	6411	5126
1667	6415	5122
1668	6418	5118
1669	6422	5114
1670	6426	5110
1671	6429	5106
1672	6433	5103
1673	6437	5099
1674	6441	5095
1675	6444	5091
1676	6448	5087
1677	6452	5083
1678	6456	5079
1679	6459	5075
1680	6463	5071
1681	6467	5067
1682	6470	5063
1683	6474	5059
1684	6478	5056
